
Symbol table '.dynsym' contains 2245 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
     0: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 000000000001f8b0     0 SECTION LOCAL  DEFAULT   13 
     2: 00000000003c07c0     0 SECTION LOCAL  DEFAULT   23 
     3: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global@GLIBC_PRIVATE (26)
     4: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND __libc_enable_secure@GLIBC_PRIVATE (26)
     5: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND __tls_get_addr@GLIBC_2.3 (27)
     6: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global_ro@GLIBC_PRIVATE (26)
     7: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND _dl_find_dso_for_object@GLIBC_PRIVATE (26)
     8: 0000000000000000     0 NOTYPE  WEAK   DEFAULT  UND _dl_starting_up
     9: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND _dl_argv@GLIBC_PRIVATE (26)
    10: 00000000000710f0   349 FUNC    GLOBAL DEFAULT   13 putwchar@@GLIBC_2.2.5
    11: 000000000009eba0    32 FUNC    GLOBAL DEFAULT   13 __strspn_c1@@GLIBC_2.2.5
    12: 00000000001186e0    16 FUNC    GLOBAL DEFAULT   13 __gethostname_chk@@GLIBC_2.4
    13: 000000000009ebc0    37 FUNC    GLOBAL DEFAULT   13 __strspn_c2@@GLIBC_2.2.5
    14: 0000000000131b00   192 FUNC    GLOBAL DEFAULT   13 setrpcent@@GLIBC_2.2.5
    15: 00000000000b0d70    10 FUNC    GLOBAL DEFAULT   13 __wcstod_l@@GLIBC_2.2.5
    16: 000000000009ebf0    70 FUNC    GLOBAL DEFAULT   13 __strspn_c3@@GLIBC_2.2.5
    17: 0000000000107910    33 FUNC    GLOBAL DEFAULT   13 epoll_create@@GLIBC_2.3.2
    18: 00000000000ea850    33 FUNC    WEAK   DEFAULT   13 sched_get_priority_min@@GLIBC_2.2.5
    19: 00000000001186f0    16 FUNC    GLOBAL DEFAULT   13 __getdomainname_chk@@GLIBC_2.4
    20: 0000000000107b20    33 FUNC    GLOBAL DEFAULT   13 klogctl@@GLIBC_2.2.5
    21: 000000000002e0b0    11 FUNC    GLOBAL DEFAULT   13 __tolower_l@@GLIBC_2.2.5
    22: 0000000000055a60   143 FUNC    GLOBAL DEFAULT   13 dprintf@@GLIBC_2.2.5
    23: 00000000000cd2b0   104 FUNC    WEAK   DEFAULT   13 setuid@@GLIBC_2.2.5
    24: 00000000000b65e0  3383 FUNC    GLOBAL DEFAULT   13 __wcscoll_l@@GLIBC_2.2.5
    25: 000000000010a460   145 FUNC    WEAK   DEFAULT   13 iswalpha@@GLIBC_2.2.5
    26: 00000000000fc920    33 FUNC    GLOBAL DEFAULT   13 __getrlimit@@GLIBC_PRIVATE
    27: 000000000011fcf0   128 FUNC    GLOBAL DEFAULT   13 __internal_endnetgrent@@GLIBC_PRIVATE
    28: 00000000000fd6f0    33 FUNC    GLOBAL DEFAULT   13 chroot@@GLIBC_2.2.5
